# ##time, x, y, yaw, vel, speed_cmd, steer_cmd, s, lap
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,-9.799999743700027466e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,7.562779949999998965e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.132155989999999723e-01,2.000000000000000000e+00,-9.799999743700027466e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,8.084355224575050930e-03,-3.363181902246887275e-06,-1.253849913321225529e-03,3.697701705127584004e-01,2.000000000000000000e+00,-9.756233543157577515e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,2.257159409838859973e-02,-1.919528541230650618e-04,-5.510339161400423791e-03,5.914398616283659260e-01,2.000000000000000000e+00,-9.378326684236526489e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,4.321846462816688467e-02,-1.323088454455709868e-03,-1.167789585299061628e-02,7.829681266269306050e-01,2.000000000000000000e+00,-8.806770294904708862e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,6.919781976535624435e-02,-2.863931307679725129e-03,-1.823617738168437086e-02,9.484534309495188387e-01,2.000000000000000000e+00,-8.011959493160247803e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,9.978774494328013223e-02,-4.696047525442688560e-03,-2.518231940586890261e-02,1.091436953235092933e+00,2.000000000000000000e+00,-7.174683362245559692e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.343496693519976581e-01,-6.964165094708849729e-03,-3.310062856625872740e-02,1.214978362116550636e+00,2.000000000000000000e+00,-6.234860792756080627e-02,2.549509756796392579e-01,0.000000000000000000e+00
8.000000000000000000e+00,1.723372125554418210e-01,-9.688212471267708750e-03,-4.140709441870704666e-02,1.321721289304569114e+00,2.000000000000000000e+00,-5.154701694846153259e-02,2.549509756796392579e-01,0.000000000000000000e+00
9.000000000000000000e+00,2.133008481899634212e-01,-1.257173111581701835e-02,-4.772592002748510254e-02,1.413949900001405524e+00,2.000000000000000000e+00,-4.189980030059814453e-02,2.549509756796392579e-01,0.000000000000000000e+00
1.000000000000000000e+01,2.568260850539283990e-01,-1.572970493265549510e-02,-5.393485236462680632e-02,1.493637771180784002e+00,2.000000000000000000e+00,-3.298863023519515991e-02,2.549509756796392579e-01,0.000000000000000000e+00
1.100000000000000000e+01,3.025556610726791718e-01,-1.924135077232640850e-02,-6.016926094073138387e-02,1.562490123667960917e+00,2.000000000000000000e+00,-2.346217073500156403e-02,2.549509756796392579e-01,0.000000000000000000e+00
1.200000000000000000e+01,3.501797374925828543e-01,-2.317542990753807333e-02,-6.680055496812009608e-02,1.621980311733685731e+00,2.000000000000000000e+00,-1.348139531910419464e-02,2.549509756796392579e-01,0.000000000000000000e+00
1.300000000000000000e+01,3.994575384141287322e-01,-2.726331408678737619e-02,-7.114559815259635656e-02,1.673381351033750963e+00,2.000000000000000000e+00,-2.610987611114978790e-02,5.049509756796393134e-01,0.000000000000000000e+00
1.400000000000000000e+01,4.501733739492682629e-01,-3.137239892651493001e-02,-7.379484119719670332e-02,1.717793159552625903e+00,2.000000000000000000e+00,-8.949977345764636993e-03,5.049509756796393134e-01,0.000000000000000000e+00
1.500000000000000000e+01,5.021204274269128742e-01,-3.563724472094998569e-02,-7.637232551571493389e-02,1.756166094473315509e+00,2.000000000000000000e+00,7.926391437649726868e-03,5.049509756796393134e-01,0.000000000000000000e+00
1.600000000000000000e+01,5.551304061958880487e-01,-4.004661803199329601e-02,-7.849437385839319603e-02,1.789321288633032747e+00,2.000000000000000000e+00,2.525415644049644470e-02,5.049509756796393134e-01,0.000000000000000000e+00
1.700000000000000000e+01,6.090879435452097868e-01,-4.421813839100276894e-02,-7.723397653329655554e-02,1.817968221739414858e+00,2.000000000000000000e+00,4.000673815608024597e-02,5.049509756796393134e-01,0.000000000000000000e+00
1.800000000000000000e+01,6.638615586700742366e-01,-4.820213086271700476e-02,-7.506236517735231928e-02,1.842719902349344796e+00,2.000000000000000000e+00,7.114510238170623779e-02,7.549509756796393134e-01,0.000000000000000000e+00
